|0|1|2|3|4
143|Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 1.750,00|null|ou 10x de R$ 175,00 sem juros|null
144|Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 1.399,00|null|ou 6x de R$ 233,17 sem juros|null
145|Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 849,00|R$ 1.299,00|ou 7x de R$ 134,76 sem juros|2872
146|"Smartphone Samsung Galaxy A23, 6,6"", 128GB, Android, Branco"|R$ 2.161,54|null|ou 10x de R$ 216,15 sem juros|null
147|Smartphone Motorola Moto G32 128GB Rosé 4G Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP|R$ 1.079,10|R$ 1.599,00|ou 10x de R$ 119,90 sem juros|1111
148|Smartphone Motorola Moto G52 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 16MP|R$ 3.999,90|null|ou 10x de R$ 399,99 sem juros|null
149|iPhone 11 Apple 128GB Preto 6,1” 12MP iOS|R$ 3.509,99|R$ 6.345,90|ou 10x de R$ 390,00 sem juros|2007
150|Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 882,00|R$ 980,00|ou 10x de R$ 98,00 sem juros|null
151|Smartphone Samsung Galaxy A13 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.499,99|null|ou 10x de R$ 150,00 sem juros|null
152|Smartphone Samsung Galaxy A13 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.600,00|null|ou 10x de R$ 160,00 sem juros|null
153|"Smartphone Samsung Galaxy A13 128GB - Azul, 4G, Câmera 50MP + Selfie 8MP, Processador Octa-core, RAM 4GB, Tela 6.6"""|R$ 1.376,10|R$ 1.529,00|ou 10x de R$ 152,90 sem juros|null
154|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,99|null|ou 10x de R$ 140,00 sem juros|null
155|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,00|null|ou 10x de R$ 139,90 sem juros|null
156|Smartphone Motorola E32 64GB 4GB RAM 4G Câmera Tripla + Selfie 8MP Tela 6.5'' Rose|R$ 829,15|R$ 942,22|ou 10x de R$ 94,22 sem juros|232
157|Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.299,99|null|ou 10x de R$ 130,00 sem juros|null
158|Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.449,00|null|ou 10x de R$ 144,90 sem juros|null
159|"Smartphone Samsung Galaxy A13 Preto 128gb 4g Wi-Fi Tela 6.6"" 4gb Câmera Quádrupla + Selfie 8mp"|R$ 1.526,05|null|ou 10x de R$ 152,61 sem juros|null
